timestamp,tweet_text,username,all_hashtags,followers_count
2022-11-07 08:54:51+00:00,"@tirnaog_09 Incredible to reflect that @FCBarcelona side were possibly the greatest ever club side, way better than anything we faced in CL this season. Defeat to us was the beginning of the end for them. Atmosphere on the night was simply incredible 🍀🍀🍀🍀",b'OrielCelt',[],3106
2022-11-07 08:54:26+00:00,𝔾𝕆𝔻 𝕀𝕊 𝔾ℝ𝔼𝔸𝕋! 🙏😇💝 𝐈𝐌𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐖𝐈𝐓𝐇𝐎𝐔𝐓 𝐄𝐗𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐈𝐒 𝐃𝐄𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍⏩. @fcbarcelona 🅕🅞🅡 🅡🅔🅐🅛❤️💙✊🏽,b'depobrtationa',[],0
2022-11-07 08:53:16+00:00,@EuropaLeague @FCBarcelona why don't you post it on your timeline? 😂 @dEAR_sNEEZY dem wan do like dem no be part 🤣🤣,b'son_mufasa',[],551
2022-11-07 08:53:14+00:00,@FCBarcelona Someone that doesn't know know to play football?,b'RemaWikki',[],190
2022-11-07 08:51:06+00:00,@FCBarcelona  can't  wait. Let's Go!!! https://t.co/doVoGwYeH3,b'majorselorm',[],867
2022-11-07 08:49:42+00:00,@FCBarcelona @lewy_official Well done !!,b'ColdFusionZone',[],0
2022-11-07 08:46:27+00:00,@Hrithish11 @FCBarcelona City don't depend on Haaland  Everyone at city can score and they dominate  Keep kissing xavi's ass we'll see where that will take barca Spoiler alert another Europa league next season,b'Shawn_FCB_WWE',[],322
2022-11-07 08:45:45+00:00,𝔾𝕆𝔻 𝕀𝕊 𝔾ℝ𝔼𝔸𝕋! 🙏😇💝 𝐈𝐌𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐖𝐈𝐓𝐇𝐎𝐔𝐓 𝐄𝐗𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐈𝐒 𝐃𝐄𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍⏩. @fcbarcelona 🅕🅞🅡 🅡🅔🅐🅛❤️💙✊🏽,b'DcrossvN',[],0
2022-11-07 08:43:51+00:00,@WisebornNterful @RBLeipzig Where is @FCBarcelona ?,b'0STDEUTSCHLAND',[],48
2022-11-07 08:41:26+00:00,𝔾𝕆𝔻 𝕀𝕊 𝔾ℝ𝔼𝔸𝕋! 🙏😇💝 𝐈𝐌𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐖𝐈𝐓𝐇𝐎𝐔𝐓 𝐄𝐗𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐈𝐒 𝐃𝐄𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍⏩. @fcbarcelona 🅕🅞🅡 🅡🅔🅐🅛❤️💙✊🏽,b'fyerrariws',[],0
2022-11-07 08:40:46+00:00,@FCBarcelona @ManUtd @AFCAjax @juventusfc wish you all good luck https://t.co/n83Zj1tMey,b'Ayew20586745',[],10853
2022-11-07 08:34:38+00:00,@FCBfemeni @FCBarcelona_cat Congratulated Barcelona femine team.  It’s big win💖,b'Rafiqul10719406',[],0
2022-11-07 08:34:20+00:00,@EuropaLeague Waiting patiently fr @FCBarcelona 😂😂😂😂😂,b'ArmaniMispa',[],201
2022-11-07 08:30:14+00:00,#Xavi #XaviHernández #Barcelona #FCBarcelona #FCB #Barça #CampNou #LaLiga #Legend #Art #Artist #Artwork #FanArt #Drawing #Sketch #Ink #InkArt #InkDrawing @FCBarcelona @LaLigaEN Hand drawn using Indian ink ✍️ https://t.co/mXO759VFUb,b'HollywoodArtLH',"['Xavi', 'XaviHernández', 'Barcelona', 'FCBarcelona', 'FCB', 'Barça', 'CampNou', 'LaLiga', 'Legend', 'Art', 'Artist', 'Artwork', 'FanArt', 'Drawing', 'Sketch', 'Ink', 'InkArt', 'InkDrawing']",254
2022-11-07 08:26:19+00:00,@messistremist @FCBarcelona @JoanLaportaFCB Isn't it? I had thought the same thing. Meanwhile they kept selling Messi shirts at the store. Lol these people are grosss,b'_xaviniesta',[],509
2022-11-07 08:23:50+00:00,OMFG this thread... if this all is true @JoanLaportaFCB  needs to run far far away from @FCBarcelona ! Really disapointed! https://t.co/kKsEvRsXmt,b'____SWIM',[],259
2022-11-07 08:21:42+00:00,@FCBarcelona wow greaaattt!!!,b'DidaDalile',[],7
2022-11-07 08:20:42+00:00,@EmmanuelMonga64 @ChelseaFC @FCBarcelona Please Barca pay the pees for J5 😂,b'kwamel100',[],319
2022-11-07 08:20:13+00:00,@FCBarcelona how hyped are you ?😀 https://t.co/X0UzJ6fgXD,b'King_DubemOG',[],472
2022-11-07 08:19:39+00:00,@FCBarcelona Will be spare for the Main Tym No. 3 Shirt 💫🙌,b'santos_blancos',[],4
2022-11-07 08:19:13+00:00,@FCBarcelona @xavisimons is gonna be the next super star..,b'kr_yash09',[],321
2022-11-07 08:17:35+00:00,@goal @FCBarcelona @LaLiga Awesome,b'matin464',[],9
2022-11-07 08:16:29+00:00,@EuropaLeague As @ManUtd we need that @FCBarcelona because we only beat big teams.,b'bengagah_17',[],57
2022-11-07 08:16:05+00:00,@FCBarcelona Farewell,b'santos_blancos',[],4
2022-11-07 08:15:58+00:00,Post @FCBarcelona https://t.co/ZZuIUt09Za,b'zeemerko',[],285
2022-11-07 08:14:15+00:00,@OptaJose @FCBarcelona @LaLigaEN What's the record of most clean sheets in a la liga campaign? And what about top 5 leagues?,b'El_Maestro65',[],106
2022-11-07 08:14:10+00:00,"@FCBarcelona Very Sad, buh wish U well emotionally😪🥲",b'santos_blancos',[],4
2022-11-07 08:13:59+00:00,@nabildhaka @messistremist @FCBarcelona @JoanLaportaFCB Ez but not my name,b'GriezmannsAlt',[],1583
2022-11-07 08:12:53+00:00,@aliysn15 @HellPatch_ @Pedri @FCBarcelona @fcbarcelona_tr @SEFutbol @play_eFootball someone else did,b'CfcBerat',[],277
2022-11-07 08:12:35+00:00,@FCBarcelona_es One of the best defenders in world football some time ago,b'ALOWKWOTEMOHAM1',[],0
2022-11-07 08:11:38+00:00,@barcacentre @FCBarcelona Warra trophy for varka,b'madridtrey0',[],0
2022-11-07 08:11:37+00:00,"@FCBarcelona nope, we don't care about this r@t",b'venenoxous',[],64
2022-11-07 08:10:54+00:00,@LaLigaTV @3gerardpique @FCBarcelona Wishing good of it when letting the young to also show dear talent may Allah blessed u,b'ALOWKWOTEMOHAM1',[],0
2022-11-07 08:10:33+00:00,@aliysn15 @HellPatch_ @Pedri @FCBarcelona @fcbarcelona_tr @SEFutbol @play_eFootball which jong?,b'CfcBerat',[],277
2022-11-07 08:09:22+00:00,"Alejandro Balde 🗣️🎙️:   "" @FCBarcelona is the club of my life.""  ""To be able to play the @FIFAWorldCup in Qatar would be a dream for me.""  ""Friends and family keep me grounded.""   ""Jordi Alba is a reference for me, he always gives me advice and is very good with me."" https://t.co/pPm2yeWskl",b'Olt_Sport',[],2482
2022-11-07 08:04:14+00:00,@ogheneoga1 @OGBdeyforyou @ChelseaFC @evanpranoy @PSG_English @FCBarcelona @Sabinus1_ @lecyclederve @heisrema @carterefe__ Bro dey fear ooh,b'MatthewMeli1',[],10
2022-11-07 08:03:49+00:00,"WOW!!!😡😡 You snivelling old Crook @JoanLaportaFCB! I always suspected something was awry with that whole episode! Leo, please don't return to that shit hole!  And for doing this to the G.O.A.T who gave his all for the club, I pray and hope @FCBarcelona suffers for 600 years!😡 https://t.co/GdVkLhCL2o",b'ArdoAliyu',[],1261
2022-11-07 08:03:47+00:00,@FCBarcelona LMAO Hell no 😂,b'inouemao40',[],23
2022-11-07 08:03:20+00:00,"They’re a complete shambles, bankrupting themselves into liquidation right before our eyes.   But 11 clean sheets in 13 league games is not to be sniffed at. https://t.co/RBAnoXSQPg",b'Anfieldlnsider',[],9466
2022-11-07 08:02:38+00:00,Goosebumps at 6:54 man What a Legend 😩 Love you Geri🐐❤️ https://t.co/UjzVrc9fcE,b'hitman_sahil',[],1423
2022-11-07 08:02:00+00:00,✨💙❤️✨  #OTD @Pedri scored his first @FCBarcelona goal.  🪄🧙 https://t.co/7oUTefw1KU,b'LaLigaEN',['OTD'],1827078
2022-11-07 08:01:13+00:00,"@FrankKhalidUK @FCBarcelona , my good club can't relate, we'll be back😑",b'_billytegetege',[],25
2022-11-07 07:59:09+00:00,Then you need to suspend @FCBarcelona they are clearly impersonating a champions league football team https://t.co/WQWskqPMsP,b'bobbyB3nz',[],256
2022-11-07 07:55:07+00:00,@FCBarcelona more than half your viewers are asian and you're keeping the games at such late times and you wonder why you dont get many viewers 😂 learn from the prem,b'pokedyo',[],42
2022-11-07 07:54:08+00:00,@FCBarcelona This is so beautiful. We will definitely miss you. You’re a Legend. #barcelonaforlife,b'Marcell_Jesse',['barcelonaforlife'],135
2022-11-07 07:51:46+00:00,This is so shameless https://t.co/zNnAPoFzJC,b'Teegr0',[],256
2022-11-07 07:51:40+00:00,"#الخبر_الان @FCBarcelona Barcelona lost this jewel, Leo Messi. Is it team spirit? What is the news of Barcelona now, the humiliating exit from the Champions League and contracts? There are no players and a bankrupt coach. I'm so sad https://t.co/YSFo5BXH15",b'bader_3155',['الخبر_الان'],1334
2022-11-07 07:49:19+00:00,@FCBarcelona @lewy_official Bayern jersey suits him better. He was so sexy in that. Now he is just like a mid.,b'najeeb_neji',[],31
2022-11-07 07:45:58+00:00,@AhmedDamn @FCBarcelona She sang Monotonia.,b'bitchiest_witch',[],31
2022-11-07 07:45:10+00:00,@FCBarcelona get this nonsense out my fucking face,b'JayhhFCB',[],660
2022-11-07 07:44:39+00:00,@ManLikeAdu @FCBarcelona Beat Villa first,b'Abdul_Mikiya',[],828
2022-11-07 07:44:18+00:00,"@dymolah @FCBarcelona The mother has written a song Monotonia, the answer is there. The best? Yeah he sure is that he even has a sport law named after him in Spain the Anti Pique Clause.",b'bitchiest_witch',[],31
2022-11-07 07:44:05+00:00,@FCBarcelona Cringe,b'Buizeps',[],67
2022-11-07 07:39:07+00:00,"@goal @FCBarcelona @LaLiga I liked Pique. He is a legend. At least in my mind. He is everything most of his haters will never be, not even in their dreams.",b'CHALATAHAPPY',[],2
2022-11-07 07:34:46+00:00,@FCBarcelona We’ll mis you Pigue!💙❤️,b'Hasim1111111',[],0
2022-11-07 07:33:05+00:00,Good morning. Give me @FCBarcelona please!,b'ManLikeAdu',[],180
2022-11-07 07:31:27+00:00,@FCBarcelona The team of wonderful players❤️,b'jahseh_higgins9',[],0
2022-11-07 07:30:31+00:00,@FCBarcelona Great work done my legend .... Go and come back with a great impact. .much love Pique @3gerardpique,b'OsamauPeter',[],0
2022-11-07 07:30:18+00:00,@Pedri @FCBarcelona @3gerardpique Pique has done alot of wonderful things for us and I really appreciate that he was part of the team of the Catalan Giants,b'jahseh_higgins9',[],0
2022-11-07 07:24:24+00:00,"@FCBarcelona At least you should have told him earlier so that he goes to city #Laporta ,#laportaout. Why did you keep on lieing to #messi #goat.@Twitter @ESPNFC ,@twittersport @GoalNews https://t.co/qH6ctFztYH",b'rutyBacta',"['Laporta', 'laportaout', 'messi', 'goat']",3701
2022-11-07 07:23:51+00:00,@farceburnery @HBBAFC @pusb1996 @lendog1234567 @ryanavfc7 @FCBarcelona Not England but worth a try,b'LeeroyFuzz7',[],141
2022-11-07 07:20:33+00:00,"@FCBarcelona Delete Moscow, add Warsaw",b'MartinHQ5',[],6
2022-11-07 07:19:08+00:00,@Im_skghosh @FCBarcelona_es Pandemic dude,b'ADNFtbol2',[],52
2022-11-07 07:19:00+00:00,@FCBarcelona He was so good last season....... This downfall is unreal... Nothing more but Lagend...,b'DIVY_PATEL__',[],2
2022-11-07 07:18:48+00:00,@ChampionsLeague @FCBarcelona doesn't get it 🥲,b'blackflack10',[],1
2022-11-07 07:17:40+00:00,@goal @FCBarcelona I bet they can beat  Chelsea boys team by a bigger margin 😂😂,b'AnotidaisheGwa1',[],2
2022-11-07 07:15:13+00:00,No and fuck this club https://t.co/2oppv8qlgf https://t.co/K3DHxKWKAn,b'GunnerrGabriel',[],2681
2022-11-07 07:14:01+00:00,"@messistremist @FCBarcelona @JoanLaportaFCB Messi's pic was taken down at least a week after he left, and Pique hasn't left yet. He's literally training with the team rn",b'GriezmannsAlt',[],1583
2022-11-07 07:11:49+00:00,@FCBarcelona Hi gays,b'JTsiriniaina',[],0
2022-11-07 07:08:02+00:00,Thank you for your service @3gerardpique..#Sempr3Pique #Barca #MoreThanAClub https://t.co/hEeF6O8A2z,b'Alaye_100',"['Sempr3Pique', 'Barca', 'MoreThanAClub']",5768
2022-11-07 07:07:18+00:00,@henr1_henry @Utd_Overseas @FCBarcelona For everything.,b'SoupheadFC',[],73
2022-11-07 07:05:42+00:00,@PSV @LuukdeJong9 We all miss you here @FCBarcelona @LuukdeJong9 . You'll always be a CÚLER ❤️💙 #luukthegoat,b'Ayomide37059171',['luukthegoat'],11
2022-11-07 07:04:46+00:00,@FCBarcelona_es Impressive,b'OkoroaforEmma',[],0
2022-11-07 07:04:25+00:00,"@JorgeChief21 @Piirtzy @FCBarcelona Pique still has better legacy, Argue with the wall",b'Adi_F92010',[],2028
2022-11-07 07:02:49+00:00,@FCBarcelona Win this for us,b'imukhtarTW',[],1
2022-11-07 07:00:09+00:00,"@FCBarcelona_es My Hero, My Legend, future president 👏",b'Andrzej61408',[],279
2022-11-07 06:58:43+00:00,9:30 on a Tuesday night 😭😭😭😭 https://t.co/r37QnTPfQk,b'Cherry_EX0',[],3194
2022-11-07 06:57:49+00:00,@FCBarcelona We can't see Matches at 2 am change your match times ..or You are not getting the views from India...,b'A978ShahrumAli',[],1369
2022-11-07 06:55:18+00:00,@FCBarcelona @ripollvinyals Love the coach xavi,b'Wapaul0',[],2
2022-11-07 06:53:17+00:00,@FCBarcelona must continue to suffer for everything they did to Messi 🚮🚮🚮🚮🚮 https://t.co/zv4QnPzBrH,b'Rio96Kwenane',[],664
2022-11-07 06:53:07+00:00,"Mateu Alemany's first words to Laporta:        ""I don't know if I'm the person to build the dream team, but I can do the necessary clean out.""  — diariARA  @FCBarcelona #ForcaBarca https://t.co/oQfqViDNSb",b'FCB_culers__',['ForcaBarca'],3
2022-11-07 06:50:47+00:00,"@sharon_068 @hindisilencio @FCBarcelona_es Absolutely, the girl is where she deserves it, in the back",b'floraldream_',[],3
2022-11-07 06:50:44+00:00,"Gavi will collect his Golden Boy award tomorrow, but he won't travel to Turin.  — cope  @FCBarcelona #goldenboy #gavi",b'FCB_culers__',"['goldenboy', 'gavi']",3
2022-11-07 06:46:43+00:00,@FCBarcelona_es So much love 💙❤,b'dinismapaxi',[],51
2022-11-07 06:45:17+00:00,@FCBarcelona @lewy_official Imagine missing a penalty but being the best player well deserved ❤️@lewy_official,b'Rojmziri11',[],0
2022-11-07 06:44:38+00:00,@play_eFootball @FCBayern @FCBarcelona Konami you show it again and again that you only want the money from the people who play your game or how am I supposed to understand that you can now get 3x the hero packages? How about finally bringing something new than always the same shit????😡,b'KatzMaus_FFM',[],0
2022-11-07 06:44:09+00:00,"@FCBarcelona @lewy_official Hello, good time, my name is Mehrdad, my brother Ali is a football talent. My brother tried in different teams, but due to lack of financial resources, we failed to support him. Please help us.",b'mehrdad59262776',[],1
2022-11-07 06:43:52+00:00,Fins aviat!! https://t.co/I0nbrXCivK,b'Chf200763',[],158
2022-11-07 06:43:36+00:00,"@Shawn_FCB_WWE @FCBarcelona By your logic even city depend on Erling and are hence are bad..depending on your best players is not bad..we feed lewa so that he scores That's y we bought him And in big games..I already told u the injury crisis we had..put nacho , Jesus and zola for RM even they will fail",b'Hrithish11',[],30
2022-11-07 06:41:14+00:00,@FCBarcelona Pique gave his all to the club 💜💙,b'TufanCh74287726',[],10
2022-11-07 06:39:37+00:00,@FCBarcelona The going gets tough and he quits. Zero balls no wonder shakira left,b'Jidda_Jnr',[],5938
2022-11-07 06:36:44+00:00,@FCBarcelona 2:00 AM una Not watching 👍,b'IHateElonMuskk',[],835
2022-11-07 06:36:25+00:00,Absolutely disgusting Football club. Rat club https://t.co/GUle6dEdaY,b'oftheArsenal',[],782
2022-11-07 06:35:05+00:00,@ogheneoga1 @OGBdeyforyou @ChelseaFC @evanpranoy @PSG_English @FCBarcelona @Sabinus1_ @lecyclederve @heisrema @carterefe__ Are you your village youth chairman?,b'Dekings_media',[],2
2022-11-07 06:33:28+00:00,@sportening @3gerardpique @FCBarcelona @LaLiga Better than Messi,b'YigaDivine',[],183
2022-11-07 06:32:32+00:00,@hindisilencio @FCBarcelona_es @sharon_068 Yo’re right,b'floraldream_',[],3
2022-11-07 06:31:35+00:00,@FCBarcelona Best night of my life 😍,b'Sagar301910',[],586
2022-11-07 06:29:49+00:00,MAX RATING EPIC CARD 07 NOV '22  #eFootball #efootball2023mobile #eFootballアプリ #ACMilan #FCBarcelona #intermilan #Epic https://t.co/gNNakAHgv0,b'efootballarea',"['eFootball', 'efootball2023mobile', 'eFootballアプリ', 'ACMilan', 'FCBarcelona', 'intermilan', 'Epic']",6
2022-11-07 06:29:23+00:00,@FCBarcelona So Shakira didn't come???😳🙄,b'EricSL7',[],2541
2022-11-07 06:28:57+00:00,Good morning lads🌞https://t.co/NvaLZ59NuT,b'FpsKnights',[],599
2022-11-07 06:28:40+00:00,@RafaelBorre99 @FCBarcelona @lewy_official 1 missed pen and he still is la liga top scorer 😘,b'ifunky_bro',[],3
2022-11-07 06:28:10+00:00,@barcacentre @FCBarcelona Wont happen,b'miasanbest',[],161
2022-11-07 06:24:25+00:00,@goal @3gerardpique @FCBarcelona Legend 👏,b'kazeemmustaph11',[],44
2022-11-07 06:23:37+00:00,@FCBarcelona @ANSUFATI strike by @ANSUFATI,b'SagarSarkar44',[],13
