timestamp,tweet_text,username,all_hashtags,followers_count
2022-11-08 13:52:59+00:00,@FCBarcelona Why Moscow ?!!!😱🤬🤮,b'CetlinMaciej',[],6
2022-11-08 13:52:51+00:00,@FCBarcelona 2 am here 💀💀 https://t.co/KrFcT4aqBK,b'Chavi_Era',[],604
2022-11-08 13:52:30+00:00,Was pique the barca twitter admin back then? ... Anyways got a job offer for u presidento @3gerardpique https://t.co/1HlJTBarUX,b'Shyoo1045',[],43
2022-11-08 13:52:26+00:00,@Honest_ManUtd @FCBarcelona Same bruh..and I have office from 8am😭😭,b'niloyleo10',[],880
2022-11-08 13:52:07+00:00,@sh1fty_fcb @magical_mount @FCBarcelona clearlyhd hasn't watched football since then,b'thesway__',[],5095
2022-11-08 13:51:34+00:00,@FCBarcelona Soldiers ❤️💙,b'BiencoMass',[],961
2022-11-08 13:51:30+00:00,@FCBarcelona Underrated defender,b'cheeto1201',[],6
2022-11-08 13:51:12+00:00,@FCBarcelona_es Manchester United,b'Leo_Riveron',[],491
2022-11-08 13:50:55+00:00,@eastrn_natius @FCBarcelona @atletienglish 5 points from top 3 is massive,b'248minii',[],1529
2022-11-08 13:50:50+00:00,@LaLigaTV @3gerardpique @FCBarcelona U can fix it!,b'Haydaddict',[],579
2022-11-08 13:49:08+00:00,@FCBarcelona @EuropaLeague @ManUtd Manchester is my favorite team,b'on_air90',[],60
2022-11-08 13:49:07+00:00,REVEALED: Joao Felix desperate to leave; Barcelona and Atletico Madrid locked in talks #Barca #FCBarcelona #FCB https://t.co/qkgGKUxeDx,b'barcanewsonly',"['Barca', 'FCBarcelona', 'FCB']",22493
2022-11-08 13:47:44+00:00,@fcbarcelona_fra Super,b'MakalouIdrissa',[],36
2022-11-08 13:47:13+00:00,@hajjmawia @FCBarcelona 5 goals and 5 assist so far.... Tell me who is consistent in that squad?,b'Madlams7',[],176
2022-11-08 13:46:57+00:00,@FCBarcelona Man U,b'Sundex37189057',[],1
2022-11-08 13:46:39+00:00,@messistremist @FCBarcelona @JoanLaportaFCB Stop this false narrative. Messi is the 🐐 but how could you still keep messi's picture with the squad when he was no longer a player of the team ? Would PSG allow it ? And the same thing happened when Auba left .. his picture was removed asap..,b'_calm_chor_',[],12
2022-11-08 13:45:22+00:00,@LordChimdi @FCBarcelona He played for them last year when he was a Leeds United player.,b'JeffDan28690735',[],4
